"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.287145371E1,2.374192476E0,-3.988934326E1,5.102039337E0
2.288213471E1,2.053897619E0,-3.989767075E1,5.175379753E0
2.289281071E1,1.561718822E0,-3.991137695E1,5.241234779E0
2.290349671E1,9.625396729E-1,-3.991065598E1,5.388923645E0
2.291417871E1,9.625396729E-1,-3.991065598E1,5.388923645E0
2.292485971E1,4.238691926E-1,-3.990618515E1,5.490372658E0
2.293554071E1,2.047785223E-1,-3.991199493E1,5.460600853E0
2.294623171E1,-1.464882195E-1,-3.995435333E1,5.143507957E0
2.295690271E1,-1.464882195E-1,-3.995435333E1,5.143507957E0
2.296758371E1,-4.771236181E-1,-4.001359558E1,4.638137817E0
2.297826471E1,-6.612257361E-1,-4.004405975E1,4.343255997E0
2.298894671E1,-8.600863218E-1,-4.007102966E1,4.049775124E0
2.299962871E1,-1.013451815E0,-4.006840897E1,4.040201187E0
2.301033871E1,-1.352318048E0,-4.009972763E1,3.607034683E0
2.302102071E1,-1.352318048E0,-4.009972763E1,3.607034683E0
2.303170171E1,-1.593909264E0,-4.011869431E1,3.282829285E0
2.304238271E1,-1.650639534E0,-4.012638474E1,3.158453941E0
2.305306371E1,-1.666513920E0,-4.013331604E1,3.060517311E0
2.306374571E1,-1.614377737E0,-4.014435196E1,2.941434860E0
2.307442571E1,-1.614377737E0,-4.014435196E1,2.941434860E0
2.308510771E1,-1.458050251E0,-4.015523529E1,2.873679161E0
2.309578871E1,-1.324896455E0,-4.016065216E1,2.862392426E0
2.310646971E1,-1.156348109E0,-4.016490936E1,2.875679016E0
2.311715071E1,-9.704904556E-1,-4.016681290E1,2.917460442E0
2.312783171E1,-7.790091038E-1,-4.016634750E1,2.980607986E0
2.313851271E1,-8.366160393E-1,-4.016573334E1,2.973248482E0
2.314919271E1,-6.239721179E-1,-4.016220474E1,3.071513176E0
2.315987571E1,-1.476377249E-1,-4.015054703E1,3.276852608E0
2.317056071E1,-7.158460140E0,-4.058292770E1,1.606426239E0
2.318122871E1,-6.621889114E0,-4.066497040E1,1.819088936E0
2.319191871E1,-6.322461128E0,-4.070784378E1,1.922590256E0
2.320259971E1,-5.997189045E0,-4.075220108E1,2.022517204E0
2.321328071E1,-5.659924507E0,-4.079570770E1,2.115317345E0
2.322396171E1,-5.323564529E0,-4.083658600E1,2.198083878E0
2.323464371E1,-4.993479252E0,-4.087454224E1,2.266263008E0
2.324532471E1,-4.674431801E0,-4.090933990E1,2.318283081E0
2.325600571E1,-4.359735966E0,-4.094208908E1,2.353059769E0
2.326668271E1,-4.131333828E0,-4.095648575E1,2.509402275E0
2.327736771E1,-3.491193771E0,-4.101760483E1,2.483259201E0
2.328805571E1,-2.875620842E0,-4.106826401E1,2.434667587E0
2.329872571E1,-2.875620842E0,-4.106826401E1,2.434667587E0
2.330941171E1,-2.277894974E0,-4.110932922E1,2.373535156E0
2.332009271E1,-1.988101959E0,-4.112615204E1,2.342348099E0
2.333077371E1,-1.708911896E0,-4.114031982E1,2.313807487E0
2.334145471E1,-1.439088821E0,-4.115186310E1,2.292031288E0
2.335213571E1,-1.179376602E0,-4.116069412E1,2.281757355E0
2.336281671E1,-9.401817322E-1,-4.116650772E1,2.287950516E0
2.337349871E1,-7.337942123E-1,-4.116916656E1,2.315483093E0
2.338417871E1,-5.624933243E-1,-4.116965485E1,2.354432106E0
2.339486071E1,-4.193935394E-1,-4.116872406E1,2.400125504E0
2.340555671E1,-2.490549088E-1,-4.116215515E1,2.532876015E0
2.341622271E1,-1.424598694E-1,-4.116041946E1,2.569077492E0
2.342690371E1,-4.188632965E-2,-4.115898895E1,2.595424652E0
2.343758571E1,5.331611633E-2,-4.115765381E1,2.616249084E0
2.344826671E1,1.302928925E-1,-4.115629196E1,2.634891510E0
2.345894771E1,1.699380875E-1,-4.115511322E1,2.651021004E0
2.346962871E1,1.590623856E-1,-4.115424347E1,2.665167809E0
2.348030971E1,1.169042587E-1,-4.115357590E1,2.677621841E0
2.349099071E1,5.467414856E-2,-4.115303040E1,2.687998772E0
2.350167071E1,-2.216434479E-2,-4.115270615E1,2.693434715E0
2.351238371E1,-1.131467819E-1,-4.115280151E1,2.689648628E0
2.352306071E1,-1.569557190E-1,-4.114705658E1,2.773903847E0
2.353373471E1,-1.569557190E-1,-4.114705658E1,2.773903847E0
2.354441071E1,6.063631058E0,-3.923992538E1,4.631094933E0
2.355510871E1,6.063631058E0,-3.923992538E1,4.631094933E0
2.356578971E1,5.853026390E0,-3.927793503E1,4.579586029E0
2.357647071E1,5.732027054E0,-3.929924011E1,4.549773216E0
2.358715171E1,5.597036362E0,-3.932255554E1,4.516225815E0
2.359783271E1,5.449931145E0,-3.934644318E1,4.487974167E0
2.360851471E1,5.290525436E0,-3.937026215E1,4.469775200E0
2.361919571E1,5.117342949E0,-3.939435577E1,4.459097862E0
2.362986371E1,4.934113979E0,-3.941854858E1,4.451831818E0
2.364053571E1,4.743970871E0,-3.944242859E1,4.446961403E0
2.365123871E1,4.541915417E0,-3.946620941E1,4.446950912E0
2.366191971E1,4.317281723E0,-3.949001312E1,4.459402084E0
2.367260371E1,3.849779367E0,-3.954010391E1,4.443591118E0
2.368328771E1,3.250759125E0,-3.958281708E1,4.540847778E0
2.369396371E1,3.250759125E0,-3.958281708E1,4.540847778E0
2.370464471E1,2.625899792E0,-3.961677170E1,4.647805214E0
2.371532571E1,2.306663990E0,-3.963103104E1,4.695373535E0
2.372600671E1,1.984697819E0,-3.964448166E1,4.728793144E0
2.373668671E1,1.659069300E0,-3.965853882E1,4.736358643E0
2.374737871E1,9.941852093E-1,-3.968601227E1,4.692267418E0
2.375804571E1,9.941852093E-1,-3.968601227E1,4.692267418E0
2.376873171E1,3.139662743E-1,-3.970310211E1,4.642289162E0
2.377941271E1,-4.185414314E-2,-3.970466614E1,4.639318466E0
2.379009371E1,-4.111233354E-1,-3.969858551E1,4.673179626E0
2.380078171E1,-6.249741316E-1,-3.969657135E1,4.666573524E0
2.381145571E1,-1.281537652E0,-3.966775513E1,4.776233673E0
2.382213771E1,-1.281537652E0,-3.966775513E1,4.776233673E0
2.383281871E1,-1.813255072E0,-3.964970016E1,4.753890038E0
2.384349971E1,-2.010530710E0,-3.965421295E1,4.635465622E0
2.385418071E1,-2.174303293E0,-3.966822815E1,4.437396049E0
2.386485471E1,-2.482702017E0,-3.970575333E1,3.908438683E0
2.387555471E1,-2.482702017E0,-3.970575333E1,3.908438683E0
2.388622371E1,-2.794889688E0,-3.973703003E1,3.338232040E0
2.389690571E1,-2.949533463E0,-3.974848175E1,3.056997299E0
