Timestamp,Milliseconds,X,Y,Z
2021-06-03 20:01:02,66711,-0.7796477,0.056180667,2.3599195
2021-06-03 20:01:02,66721,-0.62305397,-0.10680465,2.3950734
2021-06-03 20:01:02,66731,-0.49628764,-0.17924258,2.409987
2021-06-03 20:01:02,66741,-0.40147918,-0.19522153,2.3961387
2021-06-03 20:01:02,66752,-0.30027914,-0.17391627,2.3141134
2021-06-03 20:01:02,66761,-0.22571069,-0.14089309,2.216109
2021-06-03 20:01:02,66771,-0.110662244,-0.09508675,2.0424712
2021-06-03 20:01:02,66782,0.0054514864,-0.08549938,1.8432667
2021-06-03 20:01:02,66791,0.09067257,-0.075912006,1.6621718
2021-06-03 20:01:02,66801,0.20891683,-0.13343625,1.3117002
2021-06-03 20:01:02,66811,0.24726631,-0.22611417,1.0453843
2021-06-03 20:01:02,66822,0.26111475,-0.31240052,0.7907864
2021-06-03 20:01:02,66831,0.2888116,-0.39549106,0.5681463
2021-06-03 20:01:02,66841,0.34740108,-0.47538584,0.36574626
2021-06-03 20:01:02,66852,0.44220954,-0.5755206,0.17825986
2021-06-03 20:01:02,66861,0.53808326,-0.6405017,0.03444929
2021-06-03 20:01:02,66871,0.7170475,-0.702287,-0.16582026
2021-06-03 20:01:02,66881,0.86724967,-0.7001564,-0.3043045
2021-06-03 20:01:02,66892,1.0014728,-0.64902383,-0.42574456
2021-06-03 20:01:02,66901,1.0792371,-0.6032174,-0.5471846
2021-06-03 20:01:02,66911,1.1314349,-0.5744553,-0.7602373
2021-06-03 20:01:02,66922,1.1250434,-0.59789115,-1.0723596
2021-06-03 20:01:02,66932,1.0739107,-0.6277185,-1.3418713
2021-06-03 20:01:02,66941,1.0632582,-0.6373059,-1.3993955
2021-06-03 20:01:02,66952,0.9908202,-0.7140048,-1.6848861
2021-06-03 20:01:02,66961,0.90666443,-0.9142744,-2.1035345
2021-06-03 20:01:02,66971,0.8608581,-1.0964344,-2.3464146
2021-06-03 20:01:02,66981,0.8139865,-1.2168092,-2.473181
2021-06-03 20:01:02,66991,0.75433177,-1.3670113,-2.5978167
2021-06-03 20:01:02,67002,0.7127865,-1.4532976,-2.6340358
2021-06-03 20:01:02,67011,0.63821805,-1.5342577,-2.602078
2021-06-03 20:01:02,67021,0.5924117,-1.5566282,-2.554141
2021-06-03 20:01:02,67031,0.57323694,-1.519344,-2.5094
2021-06-03 20:01:02,67042,0.58282435,-1.4490366,-2.4785073
2021-06-03 20:01:02,67051,0.5924117,-1.3552934,-2.461463
2021-06-03 20:01:02,67061,0.62010854,-1.2338533,-2.4657242
2021-06-03 20:01:02,67071,0.65845805,-1.1134785,-2.4966168
2021-06-03 20:01:02,67081,0.68935066,-0.98990816,-2.5605326
2021-06-03 20:01:02,67091,0.7127865,-0.8993607,-2.6319053
2021-06-03 20:01:02,67102,0.7266349,-0.82372695,-2.7054083
2021-06-03 20:01:02,67111,0.72237384,-0.70654804,-2.8151305
2021-06-03 20:01:02,67122,0.69361174,-0.66287225,-2.8737202
2021-06-03 20:01:02,67131,0.66484964,-0.6426322,-2.9152653
2021-06-03 20:01:02,67142,0.6307612,-0.6351754,-2.9717243
2021-06-03 20:01:02,67151,0.61158645,-0.6447627,-3.0196612
2021-06-03 20:01:02,67161,0.58708537,-0.6596764,-3.0580106
2021-06-03 20:01:02,67171,0.561519,-0.6735248,-3.087838
2021-06-03 20:01:02,67182,0.5103864,-0.70654804,-3.099556
2021-06-03 20:01:02,67191,0.4699064,-0.72785324,-3.091034
2021-06-03 20:01:02,67202,0.43049163,-0.7172007,-3.05588
2021-06-03 20:01:02,67211,0.42623058,-0.7076133,-3.0452275
2021-06-03 20:01:02,67221,0.35592318,-0.6905691,-2.9355054
2021-06-03 20:01:02,67232,0.30692106,-0.6447627,-2.804478
2021-06-03 20:01:02,67241,0.24726631,-0.5456932,-2.6745157
2021-06-03 20:01:02,67251,0.16524102,-0.45195004,-2.5360315
2021-06-03 20:01:02,67261,0.06297572,-0.34968475,-2.3805032
