"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.981354446E1,-1.702709198E0,4.248614960E0,1.050111282E1
4.982330146E1,-1.362616425E0,3.694018250E0,1.037702087E1
4.983309746E1,-1.050066376E0,3.605552216E0,1.025607239E1
4.984286346E1,-1.077459412E0,3.752247162E0,9.944719849E0
4.985262846E1,-1.255289612E0,3.907025299E0,9.855205994E0
4.986242446E1,-1.288370819E0,3.992796936E0,9.739047546E0
4.987217646E1,-1.404678955E0,3.944896545E0,9.381740570E0
4.988195646E1,-1.585951996E0,3.732637939E0,8.953331451E0
4.989175246E1,-1.753753052E0,3.249891815E0,8.575367432E0
4.990151846E1,-1.876048737E0,2.816542969E0,8.147706757E0
4.991128346E1,-2.070793762E0,2.470163269E0,7.901768188E0
4.992106546E1,-2.317181396E0,2.434836731E0,7.935148773E0
4.993084046E1,-2.595602417E0,2.720442810E0,8.134384460E0
4.994061046E1,-2.858455811E0,3.015179901E0,8.395142212E0
4.995040646E1,-2.885848846E0,3.203488312E0,8.767567749E0
4.996017246E1,-2.802621918E0,3.190914459E0,9.056766357E0
4.996993846E1,-2.683170319E0,3.053649902E0,9.244625702E0
4.997973446E1,-2.562521210E0,2.985391846E0,9.439670105E0
4.998948846E1,-2.490820312E0,3.067121887E0,9.555229797E0
4.999926646E1,-2.476749573E0,3.157234497E0,9.588011627E0
5.000906146E1,-2.458936615E0,3.217109985E0,9.671388245E0
5.001882746E1,-2.324067078E0,3.290756836E0,9.670789490E0
5.002859346E1,-2.214345245E0,3.328029327E0,9.607171783E0
5.003837046E1,-2.112257538E0,3.332819366E0,9.547745361E0
5.004814246E1,-2.064207458E0,3.365601196E0,9.528136139E0
5.005792046E1,-2.111209717E0,3.397035828E0,9.401349792E0
5.006771646E1,-2.267335052E0,3.375780029E0,9.361233215E0
5.007748246E1,-2.431244202E0,3.409759369E0,9.296118622E0
5.008724746E1,-2.515069885E0,3.442690887E0,9.327403564E0
5.009704346E1,-2.505190430E0,3.449726257E0,9.313033447E0
5.010679546E1,-2.486778717E0,3.422033844E0,9.269474030E0
5.011657546E1,-2.476749573E0,3.374881897E0,9.196425934E0
5.012637146E1,-2.480342102E0,3.355122986E0,9.248068542E0
5.013613646E1,-2.378404083E0,3.399430847E0,9.340576172E0
5.014590246E1,-2.332000580E0,3.419040070E0,9.323511658E0
5.015567746E1,-2.218237152E0,3.427422638E0,9.347461853E0
5.016546346E1,-2.108814697E0,3.417393494E0,9.223369904E0
5.017522946E1,-2.073488159E0,3.420237579E0,9.077124023E0
5.018502646E1,-2.088606720E0,3.508853302E0,8.918603668E0
5.019479146E1,-2.150428162E0,3.627107391E0,8.709039459E0
5.020455746E1,-2.287842407E0,3.693419495E0,8.612939301E0
5.021435446E1,-2.390828247E0,3.772455139E0,8.589138794E0
5.022412046E1,-2.398162994E0,3.876788177E0,8.548124084E0
5.023388546E1,-2.414479065E0,3.888763275E0,8.371790771E0
5.024365046E1,-2.483186188E0,3.820804596E0,8.278085632E0
5.025344746E1,-2.490071869E0,3.808530121E0,8.378377075E0
5.026321246E1,-2.439327393E0,3.906875610E0,8.461005249E0
5.027297746E1,-2.453248444E0,3.937711487E0,8.510851593E0
5.028277346E1,-2.488574982E0,3.991000671E0,8.541388092E0
5.029253946E1,-2.504142609E0,4.035607910E0,8.432414703E0
5.030230546E1,-2.529889069E0,4.100722504E0,8.322393494E0
5.031210146E1,-2.600542145E0,4.126768341E0,8.140821075E0
5.032186646E1,-2.706222382E0,4.164040833E0,8.110583954E0
5.033165446E1,-2.792892151E0,4.249213715E0,8.057893524E0
5.034142846E1,-2.785108337E0,4.360133057E0,7.971972198E0
5.035119446E1,-2.738255768E0,4.444707184E0,8.005352783E0
5.036095946E1,-2.642454987E0,4.484225006E0,8.042774963E0
5.037072546E1,-2.618654480E0,4.435875549E0,8.136779480E0
5.038052146E1,-2.643353119E0,4.401297455E0,8.280630341E0
5.039027146E1,-2.657423859E0,4.382736053E0,8.409512329E0
5.040005246E1,-2.640808411E0,4.325405273E0,8.650062103E0
5.040984946E1,-2.589764557E0,4.299060059E0,8.856033783E0
5.041961446E1,-2.550097046E0,4.256548462E0,8.980125732E0
5.042938046E1,-2.587219849E0,4.219126282E0,9.081464996E0
5.043914546E1,-2.675685883E0,4.178560638E0,9.083410950E0
5.044894446E1,-2.706372070E0,4.215982819E0,9.042994995E0
5.045870746E1,-2.686313782E0,4.229903870E0,8.994645538E0
5.046847346E1,-2.635120239E0,4.246818695E0,8.964408417E0
5.047826946E1,-2.630779266E0,4.221670990E0,8.911418610E0
5.048803546E1,-2.542313232E0,4.149071960E0,8.937913513E0
5.049779346E1,-2.348466339E0,4.132905579E0,9.201814728E0
5.050758446E1,-2.238744507E0,4.166435852E0,9.262887726E0
5.051736246E1,-2.244432678E0,4.076472931E0,9.239835663E0
5.052712846E1,-2.251617737E0,3.937861176E0,9.353000336E0
5.053689346E1,-2.266736298E0,3.892355804E0,9.381441193E0
5.054667746E1,-2.287393341E0,3.872896271E0,9.305848389E0
5.055645546E1,-2.318678284E0,3.882925415E0,9.172026672E0
5.056622446E1,-2.329306183E0,3.896696777E0,9.027876434E0
5.057597846E1,-2.290686493E0,3.929628296E0,8.896599426E0
5.058576146E1,-2.333946533E0,3.958069153E0,8.776848450E0
5.059554646E1,-2.384840698E0,3.970193939E0,8.678502960E0
5.060530446E1,-2.382595367E0,3.984414368E0,8.664581909E0
5.061509146E1,-2.430046692E0,3.954027557E0,8.639434204E0
5.062486346E1,-2.420915680E0,3.918850708E0,8.704997864E0
5.063463046E1,-2.351160736E0,3.904330902E0,8.806187439E0
5.064440846E1,-2.254162445E0,3.898193665E0,8.908724213E0
5.065417246E1,-2.257455597E0,3.875291290E0,8.976982269E0
5.066396846E1,-2.309846649E0,3.837569733E0,9.015751648E0
5.067373446E1,-2.339485016E0,3.816613312E0,9.125772858E0
5.068349746E1,-2.338137817E0,3.801943817E0,9.157207489E0
5.069326546E1,-2.330952759E0,3.802392883E0,9.107361145E0
5.070306146E1,-2.329006805E0,3.780089264E0,9.075627136E0
5.071282746E1,-2.328258362E0,3.760330353E0,9.008716278E0
5.072259346E1,-2.323318634E0,3.757336578E0,9.000932465E0
5.073238946E1,-2.267634430E0,3.767814789E0,9.012009430E0
5.074215546E1,-2.182760925E0,3.782035217E0,9.055568848E0
5.075192046E1,-2.165397034E0,3.742816772E0,8.992549896E0
