"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.932194292E0,-1.744347513E-1,-5.296583176E-1,3.906723484E-2
1.942844292E0,-1.214667559E-1,-5.550775528E-1,-4.187983274E-2
1.953524292E0,-7.235745341E-2,-6.181869507E-1,-6.683926284E-2
1.964207292E0,-6.710862368E-2,-6.918353438E-1,-9.497982264E-2
1.974886292E0,-6.310675293E-2,-6.379812360E-1,-1.168689057E-1
1.985574292E0,-2.880355902E-2,-4.107935727E-1,-1.376679540E-1
1.996256292E0,5.013421178E-2,-1.832404882E-1,-2.125136852E-1
2.006937292E0,1.391626298E-1,-1.147639528E-1,-2.706196308E-1
2.017618292E0,1.526712477E-1,-1.574403197E-1,-2.696020305E-1
2.028291292E0,1.298790872E-1,-1.842746586E-1,-1.939182132E-1
2.038965292E0,1.061484665E-1,-2.430514246E-1,-1.267823279E-1
2.049661292E0,9.307726473E-2,-2.732688785E-1,-3.051759675E-2
2.060343292E0,9.168237448E-2,-2.141626030E-1,1.338646375E-2
2.071024292E0,1.344837099E-1,-1.031502783E-1,1.304743066E-2
2.081674292E0,1.992403418E-1,5.964316800E-2,4.008128773E-3
2.092355292E0,2.436280549E-1,1.240445226E-1,-4.924113862E-3
2.103051292E0,2.260786295E-1,1.264229715E-1,2.691845596E-2
2.113718292E0,1.607572287E-1,7.065191120E-2,9.451586008E-2
2.124399292E0,1.609858871E-2,-1.521002054E-1,1.299241930E-1
2.135080292E0,1.464251196E-3,-1.316274256E-1,1.106349081E-1
2.145748292E0,1.804398447E-1,4.397143126E-1,6.187505275E-2
2.156441292E0,2.450034767E-1,5.859495997E-1,1.441062540E-1
2.167124292E0,1.457972527E-1,1.296869963E-1,3.454889059E-1
2.177805292E0,-5.181183293E-2,-3.416484892E-1,5.479370356E-1
2.188486292E0,-1.709796935E-1,-5.734558105E-1,6.341752410E-1
2.199167292E0,-1.889690757E-1,-5.775852799E-1,6.100249290E-1
2.209848292E0,-1.181990281E-1,-3.846397996E-1,5.121015310E-1
2.220528292E0,-2.373138070E-2,-1.802310199E-1,4.212339520E-1
2.231208292E0,1.010552943E-1,-2.920261398E-2,3.397063613E-1
2.241874292E0,1.826079935E-1,9.090114385E-2,2.411320359E-1
2.252542292E0,2.515228987E-1,8.006101847E-2,1.016023681E-1
2.263243292E0,3.044621944E-1,4.862443358E-2,-8.366826922E-2
2.273907292E0,3.349525034E-1,1.289402544E-1,-2.858422101E-1
2.284586292E0,3.539309800E-1,1.954047680E-1,-4.758512974E-1
2.295266292E0,3.655885756E-1,1.997475475E-1,-6.170845032E-1
2.305948292E0,3.825505078E-1,1.325340271E-1,-6.489363313E-1
2.316629292E0,3.774289191E-1,6.899406435E-4,-5.710917115E-1
2.327310292E0,3.467180729E-1,-1.361463219E-1,-4.406428635E-1
2.337991292E0,3.029183149E-1,-2.061890960E-1,-3.696202636E-1
2.348673292E0,2.762972116E-1,-2.665564418E-1,-3.584225476E-1
2.359354292E0,2.794645131E-1,-2.321551889E-1,-3.608329594E-1
2.370039292E0,2.810676992E-1,-1.621713340E-1,-3.619455993E-1
2.380702292E0,2.828318477E-1,-9.710107744E-2,-3.545734882E-1
