"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.877361417E0,2.098629570E1,-3.809861755E1,7.426718235E0
1.888042417E0,2.098629570E1,-3.809861755E1,7.426718235E0
1.898724417E0,2.136371994E1,-3.789244080E1,7.405384064E0
1.909398417E0,2.136371994E1,-3.789244080E1,7.405384064E0
1.920079417E0,2.160403061E1,-3.774639130E1,7.453948975E0
1.930761417E0,2.170279694E1,-3.768996429E1,7.452569008E0
1.941442417E0,2.179783630E1,-3.763796616E1,7.437967777E0
1.952123417E0,2.190006256E1,-3.758167648E1,7.422303200E0
1.962804417E0,2.202449799E1,-3.751146317E1,7.409270287E0
1.973485417E0,2.216614342E1,-3.743159103E1,7.390777588E0
1.984166417E0,2.232353401E1,-3.734777069E1,7.340920448E0
1.994858417E0,2.248161316E1,-3.726953888E1,7.255620956E0
2.005535417E0,2.263101959E1,-3.719997406E1,7.147354126E0
2.016210417E0,2.263101959E1,-3.719997406E1,7.147354126E0
2.026895417E0,2.291799355E1,-3.707411957E1,6.881921768E0
2.037572417E0,2.302385712E1,-3.703197479E1,6.754282475E0
2.048253417E0,2.302385712E1,-3.703197479E1,6.754282475E0
2.058933417E0,2.305213928E1,-3.703820419E1,6.622360229E0
2.069616417E0,2.300607300E1,-3.706957245E1,6.607061863E0
2.080297417E0,2.296028519E1,-3.710386658E1,6.573715210E0
2.090978417E0,2.293041229E1,-3.713517761E1,6.500802040E0
2.101659417E0,2.291152191E1,-3.716249847E1,6.410657406E0
2.112338417E0,2.290226936E1,-3.718406677E1,6.317981243E0
2.123024417E0,2.290226936E1,-3.718406677E1,6.317981243E0
2.133702417E0,2.286957741E1,-3.723297501E1,6.146015644E0
2.144384417E0,2.283391762E1,-3.726710129E1,6.071305275E0
2.155071417E0,2.278183174E1,-3.731048203E1,6.000147343E0
2.165744417E0,2.271415329E1,-3.736390686E1,5.923820019E0
2.176427417E0,2.271415329E1,-3.736390686E1,5.923820019E0
2.187107417E0,2.254156685E1,-3.749051285E1,5.781430244E0
2.197789417E0,2.244032478E1,-3.755744934E1,5.740658760E0
2.208471417E0,2.234840965E1,-3.761733627E1,5.707045078E0
2.219152417E0,2.226984596E1,-3.766983032E1,5.667746544E0
2.229818417E0,2.220724297E1,-3.771510696E1,5.611981869E0
2.240527417E0,2.220724297E1,-3.771510696E1,5.611981869E0
2.251195417E0,2.207962990E1,-3.781278229E1,5.456117153E0
2.261876417E0,2.198461151E1,-3.787733459E1,5.391660690E0
2.272561417E0,2.176242256E1,-3.791802979E1,5.975397587E0
2.283238417E0,2.166942596E1,-3.797371674E1,5.959729195E0
2.293920417E0,2.166942596E1,-3.797371674E1,5.959729195E0
2.304600417E0,2.151157951E1,-3.806381989E1,5.956769943E0
2.315282417E0,2.145206642E1,-3.809908676E1,5.945909977E0
2.325963417E0,2.138281059E1,-3.814030457E1,5.931112289E0
2.336644417E0,2.129533768E1,-3.818978882E1,5.927391529E0
2.347327417E0,2.120685005E1,-3.823985672E1,5.921869755E0
2.358007417E0,2.120685005E1,-3.823985672E1,5.921869755E0
2.368688417E0,2.130624008E1,-3.814650726E1,6.162287235E0
2.379369417E0,2.124517059E1,-3.818166733E1,6.155376911E0
2.390050417E0,2.120303535E1,-3.820689774E1,6.144047260E0
