"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.381601417E0,2.802172852E0,1.251098328E1,6.181844788E0
1.391403417E0,1.703906708E0,1.262444733E1,6.758445740E0
1.401199417E0,2.462828522E0,1.239242981E1,7.323969727E0
1.410965417E0,2.653232574E0,1.195818283E1,7.401209106E0
1.420761417E0,4.890330505E-1,1.186702240E1,6.711144104E0
1.430557417E0,-1.898651733E0,1.165955383E1,4.502936096E0
1.440353417E0,-1.135987701E0,1.313832870E1,2.994822235E0
1.450133417E0,5.861810303E-1,1.441113190E1,2.411934357E0
1.459915417E0,4.571493530E-1,1.422970917E1,1.377285919E0
1.469705417E0,5.520520020E-1,1.368424347E1,1.808688812E0
1.479502417E0,1.138382721E0,1.265139130E1,1.650767212E0
1.489298417E0,1.312470703E0,1.204350540E1,1.734293518E0
1.499063417E0,9.361532593E-1,1.245035934E1,1.612297211E0
1.508861417E0,3.906875610E-1,1.304761734E1,1.361568604E0
1.518662417E0,1.567240906E-1,1.273865982E1,1.253044281E0
1.528427417E0,1.448986816E-1,1.183468964E1,7.608677673E-1
1.538223417E0,-4.275109863E-1,1.022059616E1,1.071621552E0
1.548019417E0,-4.552033997E-1,8.590336304E0,1.770667877E0
1.557816417E0,4.924758911E-1,7.414082336E0,2.260000305E0
1.567586417E0,2.203867035E0,6.108347626E0,3.099754028E0
1.577377417E0,3.087778931E0,5.143154755E0,3.723357239E0
1.587173417E0,3.879183197E0,5.910608826E0,4.157155151E0
1.596969417E0,3.688030701E0,6.825057220E0,3.908971252E0
1.606735417E0,2.870730286E0,6.425238647E0,3.709286499E0
1.616527417E0,2.048639832E0,6.335275726E0,4.254752197E0
1.626309417E0,1.063388672E0,6.466103668E0,3.357218628E0
1.636123417E0,-1.091230774E-1,7.455097046E0,2.228865051E0
1.645903417E0,-5.379812622E-1,8.826844482E0,1.336121521E0
1.655672417E0,-6.894662476E-1,9.972112885E0,2.748284912E-1
1.665465417E0,-5.222639465E-1,1.056847275E1,1.634600830E-1
1.675257417E0,-1.526824951E-1,1.057236465E1,1.214274902E0
1.685040417E0,7.194039917E-1,1.088970474E1,2.561623077E0
1.694825417E0,1.244661713E0,1.188259003E1,2.565065918E0
1.704635417E0,1.023721161E0,1.314147217E1,2.100132751E0
1.714401417E0,3.137475586E-1,1.385803207E1,1.608854370E0
1.724195417E0,-9.403445435E-1,1.378423553E1,1.293310547E0
1.733973417E0,-1.640887756E0,1.329565155E1,2.543211365E0
1.743786417E0,4.098477173E-1,1.134610565E1,4.007017365E0
1.753565417E0,1.805395660E0,1.081650696E1,2.456691284E0
1.763351417E0,1.094074860E0,1.073118439E1,2.900518341E0
1.773147417E0,3.098556519E-2,1.049826874E1,4.128863983E0
1.782913417E0,6.750961304E-2,1.043315414E1,4.595443726E0
1.792709417E0,1.526824951E-1,1.058912979E1,3.595223694E0
1.802508417E0,-6.688092041E-1,1.045336212E1,2.351759491E0
1.812301417E0,-1.318757629E0,9.522897034E0,1.635948029E0
1.822067417E0,-1.453776855E0,8.927734680E0,9.593550110E-1
1.831864417E0,-1.300345917E0,8.646918640E0,4.327500916E-1
1.841659417E0,-9.695338440E-1,8.760831757E0,1.570234680E-1
1.851425417E0,-6.108796692E-1,8.909173279E0,-2.454895020E-2
1.861235417E0,-3.450325012E-1,9.066795502E0,-1.904040527E-1
1.871017417E0,-1.534309387E-1,9.414971466E0,-2.529739380E-1
1.880784417E0,2.157014465E-1,9.545500031E0,-1.905537415E-1
1.890579417E0,4.905299377E-1,9.584868164E0,6.706054688E-2
1.900376417E0,7.429051208E-1,9.914183350E0,3.332070923E-1
1.910171417E0,9.791139221E-1,9.956096191E0,7.743397522E-1
1.919959417E0,1.197360077E0,9.629625092E0,1.019080811E0
1.929733417E0,1.084943848E0,9.572444000E0,9.377998352E-1
1.939530417E0,1.025367737E0,9.679471436E0,9.647438049E-1
1.949296417E0,8.357121277E-1,9.763596497E0,9.964778137E-1
1.959092417E0,7.575746155E-1,9.867480469E0,1.115630035E0
1.968887417E0,6.670129395E-1,9.928104401E0,1.046324158E0
1.978653417E0,4.580474854E-1,9.802665253E0,1.050964508E0
1.988449417E0,1.899549866E-1,9.892927551E0,8.924441528E-1
1.998246417E0,9.864486694E-2,1.006701553E1,8.869056702E-1
2.008010417E0,-1.437011719E-1,1.011057495E1,8.991801453E-1
2.017807417E0,-4.828958130E-1,1.016910324E1,7.840695190E-1
2.027603417E0,-6.039939880E-1,1.007719437E1,7.065307617E-1
2.037371417E0,-5.715115356E-1,9.974956970E0,8.108638000E-1
2.047166417E0,-2.439926147E-1,9.753717041E0,9.159452820E-1
2.056961417E0,3.405418396E-1,9.755064240E0,1.054706726E0
2.066757417E0,4.228706360E-1,9.993967438E0,1.114282837E0
2.076522417E0,6.828799438E-1,1.009904892E1,1.189576263E0
2.086327417E0,8.372090149E-1,9.887089691E0,1.178050232E0
2.096096417E0,8.008346558E-1,9.692194977E0,1.157842255E0
2.105880417E0,9.021739197E-1,9.472002869E0,1.087189178E0
2.115677417E0,9.499246216E-1,9.358688507E0,1.069376221E0
2.125473417E0,1.011895752E0,9.351802826E0,1.098266144E0
2.135238417E0,1.016236725E0,9.220675507E0,1.091679840E0
2.145034417E0,9.618997192E-1,9.246272278E0,1.079555054E0
2.154817417E0,9.854008484E-1,9.321865082E0,9.931846619E-1
2.164627417E0,1.020877075E0,9.339827728E0,1.011296997E0
2.174393417E0,9.309141541E-1,9.401948547E0,1.014440460E0
2.184188417E0,8.384065247E-1,9.400301971E0,9.973759460E-1
