"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.843399792E0,-1.101258278E0,-1.953548241E1,-3.670426178E1
1.854084792E0,9.015188217E-1,-1.850254440E1,-3.724102402E1
1.864765792E0,1.627587318E0,-1.866931343E1,-3.713298035E1
1.875446792E0,2.149558067E0,-1.916194725E1,-3.685444641E1
1.886127792E0,2.576259613E0,-1.985118103E1,-3.646017456E1
1.896809792E0,2.710591316E0,-2.063512611E1,-3.601242828E1
1.907490792E0,2.532179832E0,-2.140106583E1,-3.557573700E1
1.918171792E0,2.305713654E0,-2.198796844E1,-3.523157501E1
1.928852792E0,2.229873657E0,-2.232415962E1,-3.502442551E1
1.939506792E0,2.401544571E0,-2.249551392E1,-3.490322495E1
1.950191792E0,2.703742027E0,-2.256517982E1,-3.483609009E1
1.960870792E0,3.073444366E0,-2.256449699E1,-3.480586243E1
1.971541792E0,3.073444366E0,-2.256449699E1,-3.480586243E1
1.982227792E0,4.512360096E0,-2.275364113E1,-3.452479172E1
1.992908792E0,6.037429810E0,-2.317771530E1,-3.400579071E1
2.003590792E0,7.715710163E0,-2.384037971E1,-3.319871902E1
2.014271792E0,9.253130913E0,-2.466541672E1,-3.218769073E1
2.024952792E0,1.053858089E1,-2.557816887E1,-3.106036377E1
2.035633792E0,1.153938007E1,-2.651060104E1,-2.990119553E1
2.046314792E0,1.227206516E1,-2.739657593E1,-2.879018784E1
2.056995792E0,1.279317665E1,-2.818292999E1,-2.778683090E1
2.067648792E0,1.311384964E1,-2.884069443E1,-2.694980621E1
2.078348792E0,1.325967026E1,-2.935373878E1,-2.631710243E1
2.089022792E0,1.335467529E1,-2.970865822E1,-2.586694717E1
2.099689792E0,1.335467529E1,-2.970865822E1,-2.586694717E1
2.110371792E0,1.363528538E1,-3.000199890E1,-2.537734795E1
2.121052792E0,1.389287663E1,-3.002131271E1,-2.521426964E1
2.131733792E0,1.413124466E1,-3.006150436E1,-2.503327179E1
2.142414792E0,1.428925705E1,-3.016634560E1,-2.481651878E1
2.153094792E0,1.441981697E1,-3.035185432E1,-2.451294899E1
2.163776792E0,1.456811333E1,-3.061835480E1,-2.409018898E1
2.174457792E0,1.470579910E1,-3.096922493E1,-2.355201149E1
2.185139792E0,1.478739262E1,-3.140428352E1,-2.291625595E1
2.195791792E0,1.481521416E1,-3.190342140E1,-2.219756126E1
2.206475792E0,1.484777927E1,-3.243478394E1,-2.139109230E1
2.217152792E0,1.493876648E1,-3.297132874E1,-2.048842049E1
2.227833792E0,1.510552502E1,-3.348041534E1,-1.951757431E1
2.238514792E0,1.510552502E1,-3.348041534E1,-1.951757431E1
2.249195792E0,1.566906929E1,-3.398611450E1,-1.815144157E1
2.259876792E0,1.600774193E1,-3.374341583E1,-1.830805779E1
2.270557792E0,1.622449875E1,-3.329890060E1,-1.892087936E1
2.281238792E0,1.623259544E1,-3.281673050E1,-1.973868752E1
2.291919792E0,1.598606396E1,-3.241692352E1,-2.058250427E1
2.302601792E0,1.551300144E1,-3.214573669E1,-2.135530663E1
2.313255792E0,1.486266708E1,-3.198550606E1,-2.204720306E1
2.323948792E0,1.413971329E1,-3.187340927E1,-2.267609406E1
2.334625792E0,1.413971329E1,-3.187340927E1,-2.267609406E1
2.345297792E0,1.290320206E1,-3.155015182E1,-2.383581352E1
2.355976792E0,1.290320206E1,-3.155015182E1,-2.383581352E1
2.366657792E0,1.229570007E1,-3.094592285E1,-2.492421341E1
2.377338792E0,1.221735096E1,-3.051734161E1,-2.548487663E1
2.388020792E0,1.226900101E1,-2.999780846E1,-2.607017136E1
2.398701792E0,1.243129826E1,-2.944744873E1,-2.661506081E1
2.409382792E0,1.261471748E1,-2.904390144E1,-2.696982956E1
2.420062792E0,1.283120155E1,-2.891167831E1,-2.700973892E1
2.430736792E0,1.314827919E1,-2.899701118E1,-2.676465607E1
2.441395792E0,1.352622223E1,-2.916865540E1,-2.638714600E1
2.452076792E0,1.352622223E1,-2.916865540E1,-2.638714600E1
2.462768792E0,1.423271465E1,-2.941446495E1,-2.573460197E1
2.473453792E0,1.449169064E1,-2.944160461E1,-2.555843544E1
2.484119792E0,1.449169064E1,-2.944160461E1,-2.555843544E1
2.494801792E0,1.477994823E1,-2.939723969E1,-2.544417572E1
2.505482792E0,1.485179424E1,-2.936768150E1,-2.543647575E1
2.516162792E0,1.490003014E1,-2.935733986E1,-2.542020035E1
2.526844792E0,1.492835426E1,-2.937440300E1,-2.538384247E1
2.537525792E0,1.495988274E1,-2.941157532E1,-2.532216263E1
