"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.109868333E0,1.149503350E0,-1.015760183E0,-1.825588226E0
1.120549333E0,9.093696475E-1,-5.519504547E-1,-1.722583175E0
1.131231333E0,3.519356549E-1,6.868084520E-2,-2.517824411E0
1.141912333E0,-1.236476451E-1,4.693180025E-1,-3.046450377E0
1.152593333E0,-8.167036176E-1,5.006878972E-1,-3.089903355E0
1.163274333E0,-1.419991851E0,6.330134273E-1,-2.547546148E0
1.173955333E0,-1.706247807E0,3.027354181E-1,-1.745103717E0
1.184654333E0,-1.576447487E0,-2.983222008E-1,-1.203171730E0
1.195311333E0,-1.332210302E0,-7.805473208E-1,-1.135839462E0
1.205997333E0,-1.405334592E0,-8.498196006E-1,-1.421153069E0
1.216680333E0,-1.648352861E0,-6.927263737E-1,-1.721366644E0
1.227361333E0,-1.605754733E0,-1.820421219E-1,-2.080293894E0
1.238042333E0,-1.252506495E0,3.991733193E-1,-2.544800282E0
1.248722333E0,-7.007114291E-1,7.530121207E-1,-2.847445250E0
1.259404333E0,-2.870727181E-1,8.805609941E-1,-2.924878120E0
1.270086333E0,-1.144913509E-1,8.873730898E-1,-2.874431849E0
1.280767333E0,-2.280682474E-1,7.702603340E-1,-2.696830273E0
1.291448333E0,-6.080419421E-1,4.309477508E-1,-2.287731647E0
1.302129333E0,-9.262694716E-1,-1.418545246E-1,-1.749353051E0
1.312810333E0,-1.026857376E0,-6.274025440E-1,-1.339853168E0
1.323465333E0,-1.024104834E0,-9.709705114E-1,-1.029913187E0
1.334142333E0,-1.003354549E0,-1.171363473E0,-8.003343940E-1
1.344823333E0,-1.159492731E0,-1.172223210E0,-7.328888178E-1
1.355504333E0,-1.542753339E0,-1.180366039E0,-8.382242918E-1
1.366185333E0,-1.741512775E0,-8.815173507E-1,-9.427911639E-1
1.376867333E0,-1.762317657E0,-6.252318025E-1,-1.246550560E0
1.387548333E0,-1.829452515E0,-3.767687380E-1,-1.692218661E0
1.398229333E0,-1.846158743E0,-2.258774787E-1,-2.187245131E0
1.408910333E0,-1.851194263E0,-6.789317727E-2,-2.565542936E0
1.419591333E0,-1.934053183E0,1.658026725E-1,-2.796832561E0
1.430285333E0,-2.035333633E0,3.301066458E-1,-2.911153316E0
