"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.563104892E1,-1.353346825E1,3.783979797E1,2.099139214E0
6.564176092E1,-1.367860699E1,3.773999786E1,2.828433990E0
6.565244192E1,-1.387566662E1,3.760780334E1,3.539822578E0
6.566312592E1,-1.408981323E1,3.745399094E1,4.252921104E0
6.567380392E1,-1.431733322E1,3.728082657E1,4.956348419E0
6.568448492E1,-1.456642914E1,3.708682632E1,5.638972282E0
6.569516492E1,-1.482385159E1,3.687541962E1,6.314141273E0
6.570584692E1,-1.506872749E1,3.665284729E1,6.993842125E0
6.571652892E1,-1.529715633E1,3.641329575E1,7.712378502E0
6.572720992E1,-1.552387810E1,3.614920044E1,8.464991570E0
6.573789092E1,-1.574631119E1,3.588150787E1,9.164207458E0
6.574857192E1,-1.596838284E1,3.568872833E1,9.525618553E0
6.575925292E1,-1.615216827E1,3.562889099E1,9.439346313E0
6.576992192E1,-1.618927383E1,3.568330383E1,9.166262627E0
6.578062092E1,-1.601516151E1,3.587260056E1,8.722553253E0
6.579129692E1,-1.570624542E1,3.616489792E1,8.051456451E0
6.580197792E1,-1.529955959E1,3.648685074E1,7.351531029E0
6.581265892E1,-1.482690811E1,3.681446457E1,6.653515816E0
6.582333992E1,-1.435090446E1,3.712150955E1,5.954545021E0
6.583402592E1,-1.395730209E1,3.738297653E1,5.207512856E0
6.584470192E1,-1.367855644E1,3.759513092E1,4.349115372E0
6.585538292E1,-1.346263599E1,3.777325821E1,3.368978500E0
6.586609492E1,-1.330090046E1,3.791060638E1,2.298554420E0
6.587677592E1,-1.323354626E1,3.798454285E1,1.208004951E0
6.588744192E1,-1.331094360E1,3.797641754E1,1.477766037E-1
6.589813892E1,-1.352890587E1,3.788924408E1,-8.861827850E-1
6.590881992E1,-1.385973454E1,3.773261642E1,-1.889219284E0
6.591950092E1,-1.427259445E1,3.751750565E1,-2.853312492E0
6.593018192E1,-1.467725277E1,3.727943802E1,-3.772733688E0
6.594086292E1,-1.498503113E1,3.705677032E1,-4.653587341E0
6.595154392E1,-1.519146061E1,3.685039520E1,-5.538901329E0
6.596223892E1,-1.534785461E1,3.663362503E1,-6.467809677E0
6.597290692E1,-1.549017334E1,3.639077377E1,-7.428187370E0
6.598358792E1,-1.561882591E1,3.613433838E1,-8.353055954E0
6.599426392E1,-1.572740078E1,3.588851166E1,-9.169259071E0
6.600496792E1,-1.580982971E1,3.567496872E1,-9.836523056E0
6.601562592E1,-1.588904762E1,3.548851776E1,-1.036892605E1
6.602630592E1,-1.602914619E1,3.529634476E1,-1.080027962E1
6.603698596E1,-1.624442291E1,3.508325958E1,-1.116668701E1
6.604766696E1,-1.652002907E1,3.484984589E1,-1.148862076E1
6.605835396E1,-1.683407402E1,3.461381531E1,-1.174348831E1
6.606903496E1,-1.717263412E1,3.440232086E1,-1.187402630E1
6.607974696E1,-1.754707146E1,3.421625519E1,-1.186423111E1
6.609041196E1,-1.797273636E1,3.404220581E1,-1.172691250E1
6.610110196E1,-1.846531868E1,3.386645508E1,-1.146763897E1
6.611178296E1,-1.903772926E1,3.367057037E1,-1.110266876E1
6.612247696E1,-1.967811394E1,3.344226837E1,-1.066761780E1
6.613315296E1,-2.036330032E1,3.318424606E1,-1.017611313E1
6.614383396E1,-2.109043121E1,3.289857101E1,-9.606750488E0
6.615451496E1,-2.188827896E1,3.256261444E1,-8.943756104E0
6.616519596E1,-2.277139854E1,3.215121841E1,-8.195987701E0
6.617587696E1,-2.369446373E1,3.167486763E1,-7.395048141E0
6.618655796E1,-2.461682510E1,3.115071869E1,-6.561735153E0
6.619723896E1,-2.550217056E1,3.059436798E1,-5.747667313E0
6.620792096E1,-2.631198502E1,3.002632141E1,-5.050827980E0
6.621861996E1,-2.701278305E1,2.948757935E1,-4.494884491E0
6.622927696E1,-2.756180191E1,2.905241013E1,-3.964326859E0
6.623997996E1,-2.803999329E1,2.866147804E1,-3.419095993E0
6.625064396E1,-2.835507202E1,2.839929390E1,-2.980165482E0
6.626132596E1,-2.855543518E1,2.821555328E1,-2.807357788E0
6.627200796E1,-2.875991821E1,2.800875092E1,-2.790833473E0
6.628268896E1,-2.888775063E1,2.789056778E1,-2.650579453E0
6.629336996E1,-2.888775063E1,2.789056778E1,-2.650579453E0
6.630408196E1,-2.896121979E1,2.782284546E1,-2.559050560E0
6.631476296E1,-2.894626617E1,2.781895065E1,-2.762495041E0
6.632544396E1,-2.884219742E1,2.789240837E1,-3.090810776E0
6.633612696E1,-2.863850784E1,2.805143929E1,-3.516269684E0
6.634680096E1,-2.837955093E1,2.824870682E1,-4.002924919E0
6.635748596E1,-2.812131119E1,2.843402863E1,-4.484333038E0
6.636815096E1,-2.786183929E1,2.861295128E1,-4.942527771E0
6.637884996E1,-2.757104111E1,2.881513786E1,-5.379338264E0
6.638953096E1,-2.723749352E1,2.905252838E1,-5.786286354E0
6.640021196E1,-2.685935783E1,2.932858849E1,-6.149821281E0
6.641089296E1,-2.643568802E1,2.964672852E1,-6.452721596E0
6.642157396E1,-2.597474670E1,2.999576569E1,-6.706586838E0
6.643225496E1,-2.550205231E1,3.034988022E1,-6.923990250E0
6.644293496E1,-2.505073166E1,3.068521500E1,-7.091547012E0
6.645360796E1,-2.465616798E1,3.098484421E1,-7.171105385E0
6.646429896E1,-2.433197212E1,3.124068260E1,-7.168418884E0
6.647497996E1,-2.406502533E1,3.146132278E1,-7.104330063E0
6.648566096E1,-2.383407593E1,3.165925026E1,-7.002869606E0
6.649635696E1,-2.361418152E1,3.184619141E1,-6.899422646E0
6.650702296E1,-2.338262177E1,3.203272629E1,-6.824136734E0
6.651770496E1,-2.312663269E1,3.222302246E1,-6.800546646E0
6.652841596E1,-2.287307167E1,3.240555954E1,-6.790725708E0
6.653909696E1,-2.287307167E1,3.240555954E1,-6.790725708E0
6.654977896E1,-2.243524551E1,3.275608063E1,-6.565867424E0
6.656046296E1,-2.226649475E1,3.292844772E1,-6.271522522E0
6.657113496E1,-2.211013985E1,3.310976028E1,-5.856399536E0
6.658182196E1,-2.193920517E1,3.330781555E1,-5.354658127E0
6.659250296E1,-2.173981476E1,3.352139282E1,-4.807125092E0
6.660319496E1,-2.151727676E1,3.373892212E1,-4.254837036E0
6.661387596E1,-2.129419327E1,3.394264984E1,-3.723650932E0
6.662454696E1,-2.129419327E1,3.394264984E1,-3.723650932E0
