"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.362829417E0,-6.524033203E0,-1.017164795E1,2.495310974E-1
1.372626417E0,-6.929539948E0,-1.160791122E1,2.215393066E-2
1.382391417E0,-6.893165588E0,-1.214095276E1,1.529818726E-1
1.392157417E0,-6.240971832E0,-1.118623810E1,6.259982300E-1
1.401923417E0,-5.208269348E0,-1.051967422E1,1.459315338E0
1.411691417E0,-5.318140869E0,-1.047267197E1,1.519490204E0
1.421454417E0,-6.527176666E0,-1.054826477E1,9.213340759E-1
1.431219417E0,-7.663014679E0,-1.085377945E1,1.139879608E0
1.440985417E0,-8.888216858E0,-1.145822250E1,1.154998169E0
1.450751417E0,-5.886359253E0,-1.002165985E1,1.337917786E0
1.460534417E0,-3.155288544E0,-8.996441803E0,2.339335327E0
1.470298417E0,-3.669319611E0,-9.134903870E0,2.226919098E0
1.480078417E0,-3.802991638E0,-9.232051849E0,1.271306305E0
1.489844417E0,-3.824397125E0,-9.113797760E0,3.308120728E-1
1.499609417E0,-3.834875336E0,-9.070537720E0,-5.315446472E-1
1.509375417E0,-4.004472656E0,-9.208251343E0,-1.680106201E0
1.519141417E0,-3.865112457E0,-9.566755829E0,-2.191891937E0
1.528893417E0,-3.324436798E0,-1.003722748E1,-1.768272858E0
1.538672417E0,-2.880460052E0,-1.009291168E1,-1.291514282E0
1.548437417E0,-2.690654755E0,-9.786049805E0,-1.114881592E0
1.558204417E0,-3.132236481E0,-9.698781281E0,-1.311422882E0
1.567969417E0,-3.476370850E0,-9.870324554E0,-1.644779663E0
1.577734417E0,-3.030597839E0,-1.011536499E1,-1.866768036E0
1.587530417E0,-2.805915070E0,-1.024858795E1,-1.630858612E0
1.597296417E0,-2.989283752E0,-1.015069153E1,-1.295256500E0
1.607062417E0,-3.733386383E0,-9.919721832E0,-1.144519958E0
1.616827417E0,-4.186045074E0,-9.579179993E0,-9.602531433E-1
1.626593417E0,-4.227059784E0,-9.379046173E0,-1.009351044E0
1.636359417E0,-3.729195099E0,-9.567354584E0,-9.241781616E-1
1.646124417E0,-3.078647919E0,-9.939480743E0,-8.693920898E-1
1.655890417E0,-2.891986084E0,-9.965975647E0,-7.785310364E-1
1.665655417E0,-3.166215820E0,-9.656419373E0,-6.891668701E-1
1.675452417E0,-3.469335480E0,-9.348210297E0,-6.629713440E-1
1.685217417E0,-3.434308319E0,-9.116492157E0,-6.706054688E-1
1.694983417E0,-3.005749512E0,-9.066645813E0,-5.248086548E-1
1.704749417E0,-2.600691833E0,-9.176217957E0,-3.900888062E-1
1.714514417E0,-2.379751282E0,-8.935368805E0,-3.835025024E-1
1.724280417E0,-2.544109497E0,-8.623866577E0,-3.463796997E-1
1.734045417E0,-2.495310974E0,-8.860225067E0,-4.793032837E-1
1.743811417E0,-2.303559723E0,-9.409432983E0,-7.354206848E-1
1.753601417E0,-2.149979095E0,-9.482630768E0,-8.719367981E-1
1.763342417E0,-2.122136993E0,-9.266629944E0,-7.432044983E-1
1.773138417E0,-2.190694427E0,-9.153016205E0,-4.670288086E-1
1.782904417E0,-1.992955627E0,-9.251062317E0,-4.628375244E-1
1.792671417E0,-1.807491302E0,-9.552086334E0,-5.258564758E-1
1.802443417E0,-1.871109009E0,-9.782457275E0,-6.253994751E-1
1.812206417E0,-1.997595978E0,-9.963430939E0,-6.906637573E-1
1.821966417E0,-2.269430695E0,-1.006042923E1,-7.265890503E-1
1.831732417E0,-1.971101074E0,-1.010129425E1,-7.134164429E-1
1.841499417E0,-1.970652008E0,-1.005758514E1,-5.746549988E-1
1.851263417E0,-2.327659607E0,-1.002106110E1,-4.267625427E-1
1.861059417E0,-2.490820312E0,-9.943821716E0,-4.261637878E-1
1.870810417E0,-2.437680817E0,-1.003109024E1,-5.968089294E-1
1.880591417E0,-2.249821472E0,-1.011865814E1,-8.710386658E-1
1.890356417E0,-2.298320618E0,-1.023062531E1,-1.178050232E0
1.900122417E0,-2.464026031E0,-1.015997223E1,-1.304836578E0
1.909888417E0,-2.377505951E0,-1.007524841E1,-1.345551910E0
1.919653417E0,-2.358944550E0,-1.021954834E1,-1.453327789E0
1.929418417E0,-2.417921906E0,-1.017628830E1,-1.700314178E0
1.939184417E0,-2.512525177E0,-9.763147430E0,-1.808239746E0
1.948950417E0,-2.581232300E0,-9.388775940E0,-1.775158539E0
1.958747417E0,-2.467917938E0,-9.312135315E0,-1.865720215E0
1.968512417E0,-2.376907196E0,-9.481882324E0,-1.897753601E0
1.978277417E0,-2.475252686E0,-9.460626526E0,-1.783391418E0
1.988043417E0,-2.692451019E0,-9.416618042E0,-1.785636749E0
1.997809417E0,-2.964136047E0,-9.407487030E0,-1.911524963E0
2.007575417E0,-3.139571228E0,-9.229956207E0,-1.892065430E0
2.017341417E0,-3.325783997E0,-9.048533478E0,-1.581012268E0
2.027107417E0,-3.497926025E0,-8.971892853E0,-1.135538635E0
2.036878417E0,-3.705095215E0,-8.865164795E0,-4.014651489E-1
2.046637417E0,-3.775299225E0,-8.833430786E0,1.065783691E-1
2.056433417E0,-3.614683228E0,-8.886121216E0,3.341052246E-1
2.066194417E0,-3.341950378E0,-9.059610443E0,5.673202515E-2
2.075973417E0,-3.204536133E0,-9.391320648E0,-2.878514099E-1
2.085731417E0,-3.109783173E0,-9.814041595E0,-7.149133301E-1
2.095495417E0,-3.156336365E0,-1.001178040E1,-9.794132996E-1
2.105261417E0,-2.965483246E0,-1.015054184E1,-1.045725403E0
2.115027417E0,-2.606230316E0,-1.021685394E1,-8.872050476E-1
2.124793417E0,-2.243983612E0,-1.036923706E1,-5.366340637E-1
2.134589417E0,-2.041005707E0,-1.025218048E1,-9.789642334E-2
2.144345417E0,-1.940265198E0,-1.007839188E1,2.953358459E-1
2.154122417E0,-1.689686279E0,-1.002659958E1,5.210664368E-1
2.163885417E0,-1.418749695E0,-1.003273682E1,6.056405640E-1
2.173651417E0,-1.602567444E0,-9.911488953E0,7.355703735E-1
2.183422417E0,-1.981579285E0,-9.953551483E0,8.891510010E-1
2.193187417E0,-2.489622803E0,-9.946965179E0,1.192719727E0
2.202948417E0,-2.629432068E0,-9.837393036E0,1.540147247E0
2.212745417E0,-2.588567047E0,-9.824819183E0,1.781295776E0
2.222511417E0,-2.650987244E0,-9.897567902E0,1.730251923E0
2.232272417E0,-2.880010986E0,-9.893975372E0,1.765428772E0
2.242037417E0,-3.073259125E0,-9.996362457E0,1.985920258E0
2.251802417E0,-3.165317688E0,-1.012464569E1,2.176623688E0
2.261570417E0,-3.124003601E0,-1.016895355E1,2.407892761E0
2.271363417E0,-3.040177917E0,-1.011895752E1,2.730172577E0
2.281135417E0,-3.072959747E0,-9.963131561E0,2.885998535E0
2.290900417E0,-3.163072357E0,-9.879156189E0,2.848726044E0
2.300665417E0,-3.262315979E0,-9.958790588E0,2.689606934E0
2.310431417E0,-3.309318237E0,-1.014500336E1,2.534080353E0
2.320196417E0,-3.320544891E0,-1.020023849E1,2.386487274E0
2.329962417E0,-3.424428864E0,-9.966873779E0,2.332449646E0
2.339728417E0,-3.549269257E0,-9.613608398E0,2.376458130E0
2.349524417E0,-3.699107666E0,-9.273665314E0,2.424657898E0
2.359289417E0,-3.760629730E0,-9.110055542E0,2.494263153E0
2.369056417E0,-3.510200500E0,-9.054371338E0,2.487078094E0
2.378821417E0,-3.170556793E0,-9.379794617E0,2.577340393E0
2.388586417E0,-3.225342865E0,-9.726922760E0,2.428100739E0
2.398352417E0,-3.583547974E0,-9.737850037E0,2.111060028E0
2.408148417E0,-3.794609070E0,-9.307045898E0,1.993853760E0
2.417914417E0,-3.780538330E0,-8.948840790E0,1.932481384E0
2.427679417E0,-3.647614746E0,-8.665030975E0,1.967209167E0
2.437432417E0,-3.495830383E0,-8.672964478E0,1.938319244E0
2.447212417E0,-3.331023102E0,-8.848399658E0,1.692081299E0
2.456976417E0,-3.095113678E0,-9.025182037E0,1.541793823E0
2.466743417E0,-2.905607758E0,-9.206754456E0,1.363215179E0
2.476538417E0,-2.935096436E0,-9.194479980E0,1.197509766E0
2.486304417E0,-3.121009827E0,-8.877439270E0,1.222657471E0
2.496079417E0,-3.298390961E0,-8.530460815E0,1.356928253E0
2.505835417E0,-3.297043762E0,-8.440797272E0,1.418150940E0
2.515601417E0,-3.116818542E0,-8.487500153E0,1.513053589E0
2.525366417E0,-3.067570953E0,-8.693621521E0,1.601070557E0
2.535132417E0,-3.123404846E0,-8.941206665E0,1.562151489E0
2.544928417E0,-3.124452667E0,-8.953630829E0,1.418600006E0
2.554686417E0,-3.165766754E0,-8.832083588E0,1.554068298E0
2.564459417E0,-3.191213837E0,-8.879385223E0,1.567989349E0
2.574225417E0,-3.322790222E0,-8.937314758E0,1.487157440E0
2.583990417E0,-3.618126068E0,-9.001830597E0,1.153650970E0
2.593756417E0,-3.728446655E0,-8.999136200E0,6.286926270E-1
2.603529417E0,-3.499273224E0,-9.015601959E0,1.043330383E-1
2.613300417E0,-3.305725708E0,-9.198671265E0,-4.370910645E-2
2.623084417E0,-3.185226288E0,-9.156309357E0,-4.730163574E-2
