,acc_phone_X,acc_phone_Y,acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,light_phone_Illuminance,press_phone_Millibars,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,label
1975,3.67261155214082e+129,4.0628642930669755e+131,3.067154103346402e+131,-7.277479565012398e+128,1.2855633971954576e+129,-1.3312469877064106e+129,0.0053502453283223,1022.0496536024988,-0.2228004139015259,-0.0135116480253995,-0.0044723032158663,9.687747948139253e-05,-8.664499885750051e-06,1.2544820563172055e-06,-4.89086162559077e-07,Yardwork
1976,3.5163117046940195e+129,3.888685933816181e+131,2.934705543585126e+131,-6.967883257620213e+128,1.2313267511645877e+129,-1.2742344761661252e+129,0.005480739116818,1022.0496524708524,-0.2227991213554495,-0.0135115940578082,-0.0044721221645328,9.687620255671606e-05,-8.664501664634486e-06,1.2544845214554256e-06,-4.890843416044486e-07,Yardwork
1977,3.366622599661955e+129,3.721972440439366e+131,2.8080143198580092e+131,-6.671466747783152e+128,1.17935086639983e+129,-1.2196726799084584e+129,0.0056112329053137,1022.0496513392062,-0.2227978288095029,-0.0135115400902202,-0.0044719411131981,9.68749256320487e-05,-8.664503443521143e-06,1.254486986594022e-06,-4.890825206496034e-07,Yardwork
1978,3.2232670314052653e+129,3.562404564971922e+131,2.686829629827505e+131,-6.3876683148148e+128,1.1295425329033856e+129,-1.1674562706868904e+129,0.0057417266938093,1022.0496502075598,-0.2227965362634265,-0.013511486122629,-0.0044717600618646,9.687364870737224e-05,-8.664505222405578e-06,1.254489451732242e-06,-4.890806996949749e-07,Yardwork
1979,3.085979325952777e+129,3.40967668062924e+131,2.5709115665362152e+131,-6.115950247156587e+128,1.0818123755132678e+129,-1.1174844196785016e+129,0.005872220482305,1022.0496490759134,-0.2227952437173501,-0.0135114321550377,-0.0044715790105312,9.68723717826958e-05,-8.664507001290013e-06,1.2544919168704616e-06,-4.890788787399129e-07,Yardwork
1980,2.9545048619939375e+129,3.2634962008280728e+131,2.4600306489212665e+131,-5.855797811282408e+128,1.0360746939013607e+129,-1.0696606076851986e+129,0.0060027142708007,1022.0496479442672,-0.2227939511714035,-0.0135113781874497,-0.0044713979591965,9.687109485802844e-05,-8.664508780176669e-06,1.254494382009058e-06,-4.890770577855013e-07,Yardwork
1981,2.828599612011589e+129,3.1235830230491182e+131,2.353967372283763e+131,-5.60671826503566e+128,9.922473094489097e+128,-1.0238924432053372e+129,0.0061332080592963,1022.0496468126208,-0.2227926586253271,-0.0135113242198585,-0.004471216907863,9.686981793335176e-05,-8.664510559061104e-06,1.2544968471472778e-06,-4.890752368304392e-07,Yardwork
1982,2.7080297026870163e+129,2.989668996474425e+131,2.2525117778732564e+131,-5.368239913493837e+128,9.50251418694015e+128,-9.80091488053144e+128,0.006263701847792,1022.0496456809744,-0.2227913660792508,-0.0135112702522672,-0.0044710358565295,9.686854100867552e-05,-8.664512337945539e-06,1.2544993122854976e-06,-4.890734158758108e-07,Yardwork
1983,2.5925709937471945e+129,2.8614974123793943e+131,2.155463040783889e+131,-5.139911205535673e+128,9.100114530595769e+128,-9.38173090216812e+128,0.0063941956362877,1022.049644549328,-0.2227900735333041,-0.0135112162846792,-0.0044708548051948,9.686726408400818e-05,-8.664514116832196e-06,1.2545017774240942e-06,-4.890715949209656e-07,Yardwork
1984,2.48200867446054e+129,2.73882251630322e+131,2.0626290753937545e+131,-4.9212998693625674e+128,8.71454944583365e+128,-8.980562236590772e+128,0.0065246894247833,1022.0496434176816,-0.2227887809872278,-0.0135111623170879,-0.0044706737538614,9.686598715933152e-05,-8.664515895716631e-06,1.2545042425623138e-06,-4.890697739663372e-07,Yardwork
1985,2.3761368770222232e+129,2.621409041063925e+131,1.9738261576121736e+131,-4.711992085299704e+128,8.345123973845275e+128,-8.59663334776441e+128,0.006655183213279,1022.0496422860352,-0.2227874884411514,-0.0135111083494967,-0.0044704927025279,9.686471023465504e-05,-8.664517674601064e-06,1.2545067077005334e-06,-4.890679530114919e-07,Yardwork
1986,2.274758306103332e+129,2.509031759724559e+131,1.888878563231049e+131,-4.511591694273139e+128,7.991171646128725e+128,-8.229201952449995e+128,0.0067856770017747,1022.049641154389,-0.2227861958952047,-0.0135110543819087,-0.0044703116511932,9.686343330998792e-05,-8.664519453487723e-06,1.2545091728391302e-06,-4.890661320568635e-07,Yardwork
1987,2.1776838838700762e+129,2.4014750576558088e+131,1.807618221706367e+131,-4.3197194404271274e+128,7.652053306387178e+128,-7.877557609920657e+128,0.0069161707902703,1022.0496400227426,-0.2227849033491283,-0.0135110004143174,-0.0044701305998597,9.686215638531146e-05,-8.664521232372156e-06,1.2545116379773498e-06,-4.890643111020183e-07,Yardwork
1988,2.084732409809701e+129,2.2985325228772948e+131,1.7298843847243909e+131,-4.1360122464112525e+128,7.327155982520454e+128,-7.541020370434971e+128,0.007046664578766,1022.0496388910962,-0.2227836108030519,-0.0135109464467262,-0.0044699495485263,9.68608794606348e-05,-8.664523011256591e-06,1.2545141031155694e-06,-4.890624901473899e-07,Yardwork
1989,1.995730234729021e+129,2.200006553895242e+131,1.6555233089341451e+131,-3.960122519929524e+128,7.015891806501399e+128,-7.218939480068957e+128,0.0071771583672617,1022.04963775945,-0.2227823182571053,-0.0135108924791382,-0.0044697684971915,9.685960253596766e-05,-8.664524790143249e-06,1.254516568254166e-06,-4.890606691925446e-07,Yardwork
1990,1.910510948319402e+129,2.105707984287972e+131,1.5843879522536312e+131,-3.791717490203611e+128,6.717696980028571e+128,-6.910692139606345e+128,0.0073076521557573,1022.0496366278036,-0.2227810257110289,-0.0135108385115469,-0.0044695874458581,9.68583256112912e-05,-8.664526569027684e-06,1.2545190333923858e-06,-4.890588482379162e-07,Yardwork
1991,1.8289150797087955e+129,2.015455723322816e+131,1.5163376831818172e+131,-3.630478573059898e+128,6.432030783941724e+128,-6.615682315280297e+128,0.007438145944253,1022.0496354961572,-0.2227797331649526,-0.0135107845439557,-0.0044694063945246,9.685704868661453e-05,-8.664528347912118e-06,1.2545214985306054e-06,-4.890570272828541e-07,Yardwork
